CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.63,0.0,3.63,0.0,0.27,3.11,0.0,0.0,7.639999999999999,100.0,0.0,0.2,0.0,0.01,0.0,90.0,0.0,40.0,0.0,2.0,0.0,0.0,29041.88,309462.69,294780.6,294781.2,25.35,0.0,0.0,2.9821706946736684,0.56,30.41,3.2,0.42,1.26,1.0,0.56,0,0,0,438090,26225,0,8,4,1.0,26202.4,5.0,1132.0,2.15,2.19,0.011671905916231507,throughput_performance,redis
0.67,0.0,3.49,0.0,0.26,3.11,0.0,0.0,7.5299999999999985,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,7.33,0.0,0.0,28978.1,308768.19,294125.2,294127.0,25.29,0.0,0.2,2.983424384096024,0.5589999999999999,30.34,3.19,0.43,1.25,1.01,0.56,0,0,9,441674,26469,0,8,4,1.2,26470.2,6.0,1132.0,2.3,2.22,0.013860388275524913,throughput_performance,redis
0.62,0.0,3.56,0.0,0.24,3.1,0.0,0.0,7.52,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,6.33,0.0,0.0,28957.84,308549.79,293913.0,293911.8,25.28,0.0,0.0,2.9840020645161287,0.5589999999999999,30.26,3.18,0.43,1.25,1.01,0.56,0,0,3,441697,26404,0,8,4,1.2,26394.6,5.0,1132.0,2.44,2.25,0.013860388275524913,throughput_performance,redis
0.61,0.0,3.57,0.01,0.26,3.1,0.0,0.0,7.539999999999999,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,9.67,0.0,0.0,28920.2,308152.95,293534.6,293533.6,25.24,0.0,0.0,2.9925443600900223,0.5589999999999999,30.19,3.17,0.42,1.25,1.01,0.56,0,0,3,441976,26476,0,8,4,1.2,26476.8,6.0,1132.0,2.56,2.28,0.013860388275524913,throughput_performance,redis
0.63,0.0,3.55,0.01,0.25,3.11,0.0,0.0,7.539999999999999,100.0,0.0,0.8,0.0,0.0,0.0,33.33,0.0,5.0,0.0,7.25,0.16,0.0,28879.81,307700.69,293103.8,293102.8,25.21,0.0,0.0,2.9962808462115533,0.5579999999999999,30.19,3.18,0.42,1.25,1.01,0.56,0,0,4,442471,26456,0,8,4,2.6,26454.4,6.0,1132.0,2.68,2.31,0.013860388275524913,throughput_performance,redis
0.63,0.0,3.55,0.01,0.25,3.08,0.0,0.0,7.51,100.0,0.0,1.0,0.0,0.01,0.0,61.54,0.0,7.2,0.0,13.0,0.08,0.0,28830.49,307206.88,292633.0,292632.6,25.17,0.0,0.0,2.9930482940735184,0.5579999999999999,30.15,3.18,0.43,1.25,1.01,0.56,0,0,10,442410,26471,0,8,4,1.2,26467.0,6.0,1132.0,2.78,2.34,0.013860388275524913,throughput_performance,redis
0.61,0.0,3.56,0.0,0.26,3.08,0.0,0.0,7.51,100.0,0.0,1.8,0.0,0.03,0.0,60.87,0.0,16.0,0.0,5.33,0.16,0.0,28785.09,306699.18,292148.2,292148.8,25.12,0.0,0.0,2.9983211642910725,0.557,30.07,3.18,0.43,1.25,1.01,0.56,1,0,34,442968,26426,0,8,5,1.2,26412.4,5.0,1132.0,2.88,2.36,0.013860388275524913,throughput_performance,redis
0.61,0.0,3.56,0.01,0.27,3.1,0.0,0.0,7.539999999999999,100.0,0.0,2.0,0.0,0.01,0.0,41.18,0.0,6.4,0.0,5.8,0.16,0.0,28760.81,306460.69,291924.0,291926.4,25.11,0.0,0.2,3.0019961950487626,0.557,30.06,3.18,0.42,1.25,1.01,0.56,5,0,12,442190,26550,0,8,4,1.2,26543.4,6.0,1132.0,2.97,2.39,0.013860388275524913,throughput_performance,redis
0.64,0.0,3.55,0.0,0.25,3.09,0.0,0.0,7.5299999999999985,100.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,8.0,0.0,10.33,0.08,0.0,28782.78,306678.84,292136.2,292132.0,25.12,0.0,0.0,3.0022420165041264,0.557,30.02,3.17,0.43,1.25,1.01,0.56,1,0,4,441817,26413,0,8,5,1.2,26406.0,5.0,1132.0,3.05,2.42,0.013860388275524913,throughput_performance,redis
0.61,0.0,3.57,0.01,0.26,3.08,0.0,0.0,7.52,100.0,0.0,0.6,0.0,0.0,0.0,40.0,0.0,5.33,0.0,9.33,0.0,0.0,28768.16,306526.59,291984.2,291984.4,25.11,0.0,0.0,3.0037784006001496,0.557,29.99,3.17,0.43,1.25,1.01,0.56,1,0,3,442328,26407,0,8,6,1.2,26401.2,5.0,1132.0,3.13,2.44,0.013860388275524913,throughput_performance,redis
